,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
69,1686409200000,25668.35000000,25679.93000000,25646.00000000,25671.40000000,487.36577000,1686410999999,12506999.68704380,19276,276.08233000,7084798.92307700,0
70,1686411000000,25671.40000000,25671.41000000,25600.00000000,25628.80000000,616.02749000,1686412799999,15791090.94247820,23603,304.95025000,7816581.68877060,0
71,1686412800000,25628.81000000,25649.50000000,25582.01000000,25606.83000000,566.95968000,1686414599999,14519452.64089380,22197,266.32562000,6820729.30649100,0
72,1686414600000,25606.84000000,25645.22000000,25585.00000000,25588.67000000,621.57666000,1686416399999,15915822.59674890,20270,318.77541000,8162431.12258720,0
73,1686416400000,25588.67000000,25877.10000000,25400.00000000,25822.74000000,3521.64379000,1686418199999,90412799.06967900,79745,1771.71021000,45501420.97370650,0
74,1686418200000,25822.73000000,26154.00000000,25817.12000000,26022.34000000,3766.73651000,1686419999999,97911385.49012810,84843,1974.95178000,51329699.75820350,0
75,1686420000000,26022.34000000,26043.49000000,25358.00000000,25618.94000000,3194.93984000,1686421799999,82156354.59200290,75064,1497.61321000,38521704.38353560,0
76,1686421800000,25618.93000000,25770.00000000,25536.00000000,25547.28000000,1744.85141000,1686423599999,44773030.10137190,51270,879.68123000,22571850.53220840,0
77,1686423600000,25547.28000000,25656.12000000,25540.56000000,25618.37000000,952.72403000,1686425399999,24389394.84375220,27271,434.76025000,11129244.96010010,0
78,1686425400000,25618.37000000,25750.95000000,25605.79000000,25750.00000000,605.49107000,1686427199999,15551700.34157550,22806,324.96214000,8347101.28360280,0
79,1686427200000,25750.01000000,25755.84000000,25679.59000000,25729.99000000,620.70356000,1686428999999,15961294.79487840,21349,296.09121000,7613648.70016990,0
80,1686429000000,25729.99000000,25873.54000000,25705.78000000,25751.25000000,1120.82442000,1686430799999,28923448.11028760,33116,560.48850000,14462740.66323840,0
81,1686430800000,25751.25000000,25762.25000000,25687.26000000,25723.89000000,493.98930000,1686432599999,12708659.67131930,18413,196.91034000,5065723.96587490,0
82,1686432600000,25723.89000000,25829.72000000,25718.32000000,25761.28000000,434.71402000,1686434399999,11198246.79736620,16355,247.73749000,6382050.81120490,0
83,1686434400000,25761.29000000,25854.38000000,25745.78000000,25821.28000000,584.91026000,1686436199999,15088975.80729420,16282,255.46915000,6591858.83618850,0
84,1686436200000,25821.28000000,25932.02000000,25821.27000000,25875.16000000,499.75824000,1686437999999,12932032.63586160,19701,250.05953000,6470233.87754660,0
85,1686438000000,25875.17000000,25892.38000000,25840.00000000,25858.29000000,343.86738000,1686439799999,8893498.69642240,14780,147.85884000,3824207.15998080,0
86,1686439800000,25858.30000000,25871.57000000,25830.00000000,25841.21000000,320.95560000,1686441599999,8296002.71636980,11446,146.18659000,3778257.15978290,0
